grantee,grantee_url,description,Award Date,Amount,Term,Program
EDUCAUSE,http://educause.edu,To support the MyWays project development and dissemination.,6/28/2016,"$200,000",12 months,Education
Grantmakers for Education,http://www.edfunders.org,Barr Foundation membership,6/28/2016,"$7,500",12 months,Memberships & Sponsorships
"Great Schools Partnership, Inc.",http://www.greatschoolspartnership.org,To support the development of competency-based learning at Melrose Public Schools.,6/28/2016,"$150,000",24 months,Education
"Rockefeller Philanthropy Advisors, Inc.",http://www.rockpa.org,To support the Fund for Shared Insight’s efforts to increase foundation openness.,6/28/2016,"$100,000",12 months,Sector Effectiveness
"The Boston Foundation, Inc.",http://www.tpi.org,Barr Foundation membership dues for New England International Donors,6/28/2016,"$5,000",12 months,Memberships & Sponsorships
University of Massachusetts Donahue Institute,http://www.donahue.umassp.edu,To support the Massachusetts Association of School Supertintendents in refining the New Superintendents’ Induction Program to include a vision for personalized learning.,6/28/2016,"$177,000",13 months,Education
"The Boston Foundation, Inc.",https://www.tbf.org,To partner in the Live Arts Boston (LAB) fund for new artistic work.,6/13/2016,"$250,000",18 months,Arts & Creativity
Boston Children’s Museum,http://www.bostonchildrensmuseum.org,"To support the Museums, Libraries, and Community Organizations Statewide School Readiness Project.",6/ 8/2016,"$225,000",36 months,Education
Boston Debate League,http://www.bostondebate.org,To support general operations.,6/ 8/2016,"$300,000",24 months,Education
Boston Redevelopment Authority,http://www.bostonredevelopmentauthority.org,To commission an engineering study of coordinated smart utilities infrastructure in the South Boston Dorchester planning area.,6/ 8/2016,"$320,000",12 months,Climate
"Children’s Investment Fund, Inc.",http://www.childrensinvestmentfundma.org,To support general operations and an independent program evaluation.,6/ 8/2016,"$820,000",36 months,Education
"Educators for Excellence, Inc.",http://www.educators4excellence.org,To support the launch of E4E’s Boston Chapter.,6/ 8/2016,"$500,000",36 months,Education
Gateway to College National Network,http://www.gatewaytocollege.org,To implement six new Gateway to College sites and to strengthen the existing six Massachusetts sites.,6/ 8/2016,"$2,440,000",60 months,Education
"Grub Street, Inc.",https://grubstreet.org,"To engage new, more diverse writing students and to develop new income streams as part of the ArtsAmplified initiative.",6/ 8/2016,"$675,000",36 months,Arts & Creativity
"KIPP Massachusetts, Inc.",http://www.kippma.org,To support the design and implementation of an improved high school experience.,6/ 8/2016,"$500,000",36 months,Education
Local Initiatives Support Corporation,http://www.bostonlisc.org,To support the Massachusetts Green Retrofit Initiative.,6/ 8/2016,"$250,000",12 months,Climate
"New Classrooms Innovation Partners, Inc.",http://www.newclassrooms.org,To support the expansion of “Teach to One: Math” to New England.,6/ 8/2016,"$500,000",24 months,Education
OneGoal,http://www.onegoalgraduation.org,To support expansion in Massachusetts.,6/ 8/2016,"$500,000",24 months,Education
"Partnership Project, Inc.",http://saveourenvironment.org,To support the 2016 Climate Action Campaign.,6/ 8/2016,"$550,000",12 months,Climate
Teach Plus Incorporated,http://www.teachplus.org,To support the Massachusetts Statewide Teaching Policy Fellowship.,6/ 8/2016,"$495,000",36 months,Education
"The Lawrence and Lillian Solomon Foundation, Inc.",http://www.solomonfoundation.org,To establish and direct a greenway grants and technical assistance program for the Greater Boston area.,6/ 8/2016,"$300,000",12 months,Climate
"Third Sector New England, Inc.",http://tsne.org,"To support First Teacher’s growth, sustainability, and evaluation capacity.",6/ 8/2016,"$120,000",24 months,Education
"West End House, Inc.",http://www.westendhouse.org,To refurbish and expand art facilities and to build operating and facility reserves.,6/ 8/2016,"$1,000,000",24 months,Arts & Creativity
Associated Grantmakers of Massachusetts,http://www.agmconnect.org,Barr Foundation membership dues for Boston Education Funders,5/27/2016,"$2,500",12 months,Education
"Brooke School Foundation, Inc.",http://www.ebrooke.org,To support start-up operating costs at Brooke High School.,5/27/2016,"$300,000",12 months,Education
Grantmakers in the Arts,http://www.giarts.org,Barr Foundation membership dues,5/27/2016,"$25,000",12 months,Arts & Creativity
"Margarita Muñiz Academy Foundation, Inc.",http://www.munizacademy.org,To hire a director of strategic development and to conduct sustainability planning.,5/27/2016,"$150,000",24 months,Education
"Massachusetts Advocates for Children, Inc.",http://www.massadvocates.org,To provide general operating and capacity-building support.,5/27/2016,"$200,000",24 months,Education
Neighborhood House Charter School,http://www.thenhcs.org,To plan for a high-quality expansion.,5/27/2016,"$300,000",12 months,Education
"Third Sector New England, Inc.",http://www.tsne.org,Barr Foundation membership dues for the Early Childhood Funders Collaborative,5/27/2016,"$10,000",12 months,Memberships & Sponsorships
"United Way of Massachusetts Bay, Inc.",http://unitedwaymassbay.org,To support the design and implementation planning for high-quality universal pre-Kindergarten in Boston.,5/ 5/2016,"$1,400,000",8 months,Education
Boston Redevelopment Authority,http://www.bostonredevelopmentauthority.org,To conduct the visioning and feasibility phase of a waterfront planning process as part of Imagine Boston 2030.,4/27/2016,"$210,000",6 months,Special Initiatives
"Center for Effective Philanthropy, Inc.",http://www.effectivephilanthropy.org,To support CEP’s 2017 conference in Boston.,4/27/2016,"$50,000",12 months,Memberships & Sponsorships
Grantmakers in the Arts,http://www.giarts.org,To support GIA’s national forums.,4/27/2016,"$150,000",18 months,Arts & Creativity
Relief Society of Tigray (REST),,To provide emergency seed to drought-affected households in the Bete Gebriel watershed and nearby communities in Ethiopia.,4/27/2016,"$100,000",6 months,Global
"The Massachusetts Institute for a New Commonwealth, Inc.",http://www.massinc.org,To support the creation of a learning community to unlock opportunities in next-generation accountability for learners in small to midsize urban districts.,4/27/2016,"$150,000",12 months,Education
"TransitCenter, Inc.",http://transitcenter.org,To include the City of Cambridge in the National Association of City Transportation Officials (NACTO) 2016 Transit Program Accelerator.,4/27/2016,"$25,000",12 months,Climate
"University of Wisconsin Foundation, Inc.",https://www.supportuw.org,To support the State Smart Transportation Initiative (SSTI) in developing a trip-making tool for detecting the accessibility in reaching destinations.,4/27/2016,"$60,000",12 months,Climate
"World Music, Inc.",http://worldmusic.org,To complete a five-year strategic planning process.,4/27/2016,"$30,000",6 months,Arts & Creativity
"Boston Dance Alliance, Inc.",http://www.bostondancealliance.org,To support the Wheels UP! New England Town Hall on Physically Integrated Dance in June 2016.,3/30/2016,"$10,000",12 months,Arts & Creativity
"Generation Teach, Inc.",http://www.generationteach.org,To support the 2016 Boston summer teaching fellowships.,3/30/2016,"$100,000",12 months,Education
Grantmakers for Effective Organizations,http://www.geofunders.org,Barr Foundation membership,3/30/2016,"$12,000",12 months,Memberships & Sponsorships
Innovation Network for Communities,http://www.in4c.net,To support the Boston Green Ribbon Commission 80X50 Initiative to advance the City of Boston's deep de-carbonization goals.,3/30/2016,"$200,000",8 months,Climate
Merck Family Fund,http://merckff.org,To conduct research and analysis to help strengthen the Regional Greenhouse Gas Initiative.,3/30/2016,"$300,000",8 months,Climate
"University of Massachusetts Foundation, Inc.",,To produce a white paper on energy pathways in Massachusetts.,3/30/2016,"$80,000",6 months,Climate
"Associated Grant Makers, Inc.",http://www.agmconnect.org,To support The Summer Fund program.,3/ 2/2016,"$300,000",24 months,Education
City of Boston,http://www.cityofboston.gov,To close critical Hubway bike share gaps in transit-dependent neighborhoods.,3/ 2/2016,"$525,000",24 months,Climate
Environmental Grantmakers Association,http://www.ega.org,Barr Foundation member support,3/ 2/2016,"$10,000",12 months,Memberships & Sponsorships
"Funders’ Network for Smart Growth and Livable Communities, Inc.",http://www.fundersnetwork.org,To strengthen the philanthropic mission of the Funders’ Network.,3/ 2/2016,"$400,000",24 months,Climate
Global Philanthropy Partnership,http://www.global-philanthropy.org,To support the Carbon Neutral Cities Alliance.,3/ 2/2016,"$600,000",24 months,Climate
Global Philanthropy Partnership,http://www.global-philanthropy.org,To support the Urban Sustainability Directors Network.,3/ 2/2016,"$300,000",24 months,Climate
Hispanics in Philanthropy,http://www.hiponline.org,To support the HIP 2016 Leadership Convening.,3/ 2/2016,"$5,000",12 months,Memberships & Sponsorships
Massachusetts Department of Transportation,http://www.massdot.state.ma.us,To better analyze community patterns and to increase MassDOT’s outreach capacity.,3/ 2/2016,"$300,000",12 months,Climate
MASSCreative,http://www.mass-creative.org,"To strengthen administrative systems, staffing, and capacity for external partnerships and advocacy campaigns.",3/ 2/2016,"$385,000",24 months,Arts & Creativity
Metropolitan Area Planning Council,http://www.mapc.org,"To support mobility, clean energy, and climate resiliency planning within MAPC’s Greater Boston region.",3/ 2/2016,"$4,250,000",36 months,Climate
"New Hampshire Learning Initiative, Inc.",,To support NH Vision 2.0.,3/ 2/2016,"$550,000",24 months,Education
Northeast Sustainable Energy Association,http://www.nesea.org,To support a Boston–Copenhagen learning exchange in June 2016 around ideas and best practices in climate-change mitigation and resiliency.,3/ 2/2016,"$7,800",3 months,Memberships & Sponsorships
"Sprout, Inc.",http://thesprouts.org,To support the planning and development of the Somerville STEAM Academy.,3/ 2/2016,"$150,000",6 months,Education
"The Boston Private Industry Council, Inc.",http://www.bostonpic.org,To support Boston Compact’s planning of a unified school enrollment system in Boston.,3/ 2/2016,"$350,000",12 months,Education
The Energy Foundation,http://www.ef.org,To accelerate clean energy in the U.S. Northeast.,3/ 2/2016,"$3,000,000",12 months,Climate
Tides Center,http://www.tides.org,Barr Foundation membership dues for Emerging Practitioners in Philanthropy and support for the Boston Chapter,3/ 2/2016,"$5,000",12 months,Memberships & Sponsorships
Urban Age Institute,http://cityminded.org/organizer/urban-age-institute,To support Meeting of the Minds conferences and networking that will advance mobility innovation in Boston.,3/ 2/2016,"$305,000",24 months,Climate
Asian American-Pacific Islanders in Philanthropy,http://aapip.org,Barr Foundation membership,2/ 2/2016,"$10,000",12 months,Memberships & Sponsorships
"Associated Grant Makers, Inc.",http://www.agmconnect.org,Barr Foundation membership,2/ 2/2016,"$21,500",12 months,Memberships & Sponsorships
"Boston Harbor Island Alliance, Inc.",https://www.bostonharbornow.org/,"To support first-year activities of a new entity, Boston Harbor Now, created by the merger of the Boston Harbor Island Alliance and The Boston Harbor Association.",2/ 2/2016,"$300,000",12 months,Special Initiatives
"Boston Schools Fund, Inc.",http://www.bostonschoolsfund.org,To support the development of Boston Public Schools’ three-year strategic plan.,2/ 2/2016,"$50,000",9 months,Education
"Clean Energy Group, Inc.",http://www.cleanegroup.org,To provide technical assistance to Massachusetts communities developing resilient power projects and to educate policymakers on resilient power policy and program design.,2/ 2/2016,"$300,000",12 months,Climate
Lift Up Africa,http://www.liftupafrica.org,Barr Foundation membership dues for Big Bang Philanthropy,2/ 2/2016,"$6,000",12 months,Memberships & Sponsorships
"Livable Streets Transportation Alliance of Boston, Inc.",http://www.livablestreets.info,To organize and advocate for surface-level transportation improvements.,2/ 2/2016,"$250,000",24 months,Climate
"Massachusetts Nonprofit Network, Inc.",http://www.massnonprofitnet.org,To support staffing and new policy engagement.,2/ 2/2016,"$200,000",11 months,Sector Effectiveness
"New England Foundation for the Arts, Inc.",http://www.nefa.org,To produce the third installment in the Creative Economy Employment Report series.,2/ 2/2016,"$300,000",16 months,Arts & Creativity
Philanthropy Roundtable,http://www.philanthropyroundtable.org,Barr Foundation membership,2/ 2/2016,"$1,000",12 months,Memberships & Sponsorships
"Technology Affinity Group, Inc.",http://www.tagtech.org,Barr Foundation membership,2/ 2/2016,"$2,000",12 months,Memberships & Sponsorships
"Toxics Action Center, Inc.",http://www.toxicsaction.org,To organize campaigns that bring together community and faith-based groups across New England to inform clean energy policies.,2/ 2/2016,"$300,000",12 months,Climate
Trustees of Reservations,http://www.thetrustees.org,To explore the feasibility of and conduct planning for a prospective Boston waterfront initiative.,2/ 2/2016,"$250,000",6 months,Special Initiatives
Advanced Energy Economy Institute,https://www.aee.net/aeei,To develop a roadmap for a 21st-century electricity system in New England and Pennsylvania and to promote a robust Clean Power Plan in Pennsylvania.,1/ 4/2016,"$190,000",12 months,Climate
"Center for Collaborative Education Metro Boston, Inc.",http://www.cce.org,To support the launch of the Massachusetts Personalized Learning Network (MA PLN).,1/ 4/2016,"$250,000",12 months,Education
Communication Network,http://www.comnetwork.org,Barr Foundation membership,1/ 4/2016,"$5,000",12 months,Memberships & Sponsorships
Consultative Group on Biological Diversity,https://www.cgbd.org,Barr Foundation membership dues for the Climate and Energy Funders Group,1/ 4/2016,"$7,500",12 months,Memberships & Sponsorships
"Council on Foundations, Inc.",http://www.cof.org,Barr Foundation membership,1/ 4/2016,"$25,000",12 months,Memberships & Sponsorships
"Grants Managers Network, Inc.",http://www.gmnetwork.org,Barr Foundation membership,1/ 4/2016,"$5,340",12 months,Memberships & Sponsorships
Hispanics in Philanthropy,http://www.hiponline.org,Barr Foundation membership,1/ 4/2016,"$10,000",12 months,Memberships & Sponsorships
Independent Sector,https://www.independentsector.org,Barr Foundation membership,1/ 4/2016,"$15,000",12 months,Memberships & Sponsorships
National Committee for Responsive Philanthropy,http://www.ncrp.org,Barr Foundation membership,1/ 4/2016,"$10,000",12 months,Memberships & Sponsorships
Northeast Sustainable Energy Association,http://www.nesea.org,"To support a one-day workshop on lessons from Copenhagen and Stockholm decarbonizations strategies, to be held at the BuildingEnergy Boston Conference in March 2016.",1/ 4/2016,"$13,250",6 months,Memberships & Sponsorships
"A Better City Initiative, Inc.",http://www.abettercity.org,To support an economic analysis on the impact of MBTA services on the Boston metro region and a feasibility study on a single-payment method for regional transit systems across the state.,12/ 2/2015,"$325,000",12 months,Climate
"A Better City Initiative, Inc.",http://www.abettercity.org,To hire a senior-level staff position to educate on energy issues.,12/ 2/2015,"$185,000",24 months,Climate
"Boston Educational Development Foundation, Inc.",http://www.bostonpublicschools.org,To support National Association for the Education of Young Children (NAEYC) accreditation in Boston Public Schools' early childhood programs.,12/ 2/2015,"$800,000",36 months,Education
"Boston Municipal Research Bureau, Inc.",http://www.bmrb.org,To enhance staff and research capacity and to develop a business plan.,12/ 2/2015,"$600,000",36 months,Sector Effectiveness
"Carbon Roots International, Inc.",http://www.carbonrootsinternational.org,To provide general operating support to help fund and leverage financing for continued expansion.,12/ 2/2015,"$100,000",12 months,Global
Farm Africa Limited,http://www.farmafrica.org,To implement coffee rejuvenation technology for coffee farmers' work in Ethiopia that improves income and sustainability and that protects forestland.,12/ 2/2015,"$100,000",12 months,Global
Institute for Transportation and Development Policy,http://www.itdp.org,To continue technical support and community outreach for Bus Rapid Transit (BRT) in Greater Boston.,12/ 2/2015,"$250,000",12 months,Climate
"Jumpstart for Young Children, Inc.",http://www.jstart.org,"To provide core operating support as Jumpstart works to build the language, literacy, and social-emotional skills of 6,000 economically disadvantaged children in Boston.",12/ 2/2015,"$1,200,000",48 months,Education
"Massachusetts Museum of Contemporary Art Foundation, Inc.",http://massmoca.org,"To promote artists, provide risk capital, and manage exhibition partnerships in a newly-expanded campus.",12/ 2/2015,"$500,000",24 months,Arts & Creativity
"Medic Mobile, Inc.",http://medicmobile.org,To support general operations and to provide advisory services and support around mobile technology to other nonprofit organizations.,12/ 2/2015,"$160,000",18 months,Global
Regulatory Assistance Project,http://www.raponline.org,To provide technical assistance and training to New England regulators and policy-makers on policy and regulatory design and frameworks that accelerate clean-energy adoption.,12/ 2/2015,"$240,000",24 months,Climate
"Rockefeller Philanthropy Advisors, Inc.",http://www.rockpa.org,"To support creative placemaking grants, research, and field-building through ArtPlace America.",12/ 2/2015,"$3,000,000",24 months,Arts & Creativity
"Rose Fitzgerald Kennedy Greenway Conservancy, Inc.",http://www.rosekennedygreenway.org,To enhance the public art program and to provide general operating support.,12/ 2/2015,"$300,000",24 months,Arts & Creativity
San Francisco Chamber of Commerce Foundation,https://sfchamber.com/chamber/foundation,To enable the Chambers for Innovation and Clean Energy to educate local chambers of commerce in Connecticut and Massachusetts on clean-energy programs and policies.,12/ 2/2015,"$350,000",24 months,Climate
Stand for Children Leadership Center,http://www.stand.org,To provide core operating support for Stand for Children Massachusetts and its family engagement and organizing so that children have increased access to high-quality early and K-12 education.,12/ 2/2015,"$400,000",24 months,Education
Technical Development Corporation,http://www.tdcorp.org,"To provide capacity-building support in the form of technical assistance, training, and grants through the Barr-Klarman Arts Capacity Building Initiative.",12/ 2/2015,"$600,000",24 months,Arts & Creativity
"The Alliance for Business Leadership, Inc.",http://alliancebl.org,To educate and engage the progressive business community in energy and transportation issues.,12/ 2/2015,"$100,000",24 months,Climate
"The Bridgespan Group, Inc.",http://www.bridgespan.org,To support Leading for Impact–Boston.,12/ 2/2015,"$1,000,000",60 months,Sector Effectiveness
Tides Foundation,http://www.tides.org,"To support The Years Project, LLC's production of Season Two of Years of Living Dangerously, a television and internet project dedicated to finding solutions to climate change.",12/ 2/2015,"$1,000,000",12 months,Climate
"Yard, Inc.",http://www.dancetheyard.org,To expand programming and plan for facilities upgrades to serve year-round residents and visitors.,12/ 2/2015,"$500,000",24 months,Arts & Creativity
"Year Up, Inc.",http://www.yearup.org,"To support the research and development of new models, the sharing of best practices, and the expansion of Year Up's direct-service program.",12/ 2/2015,"$5,000,000",36 months,Education
"A Far Cry, Inc.",http://afarcry.org,To increase staff size and to establish a risk and opportunities fund.,11/30/2015,"$160,000",24 months,Arts & Creativity
"Americans for the Arts, Inc.",http://www.americansforthearts.org,To support Massachusetts’ participation in the Arts & Economic Prosperity V study.,11/30/2015,"$125,000",24 months,Arts & Creativity
"Americans for the Arts, Inc.",http://www.americansforthearts.org,To support the 2016 Americans for the Arts Annual Convention in Boston.,11/30/2015,"$70,000",12 months,Arts & Creativity
"Boston Community Capital, Inc.",http://www.bostoncommunitycapital.org,To support its work with the Federal Reserve Bank of Boston as the Bank commissions independent evaluations and shares lessons learned on round two of its Massachusetts Working Cities Challenge.,11/30/2015,"$200,000",36 months,Sector Effectiveness
Cultural Data Project,http://www.culturaldata.org,"To support Massachusetts’ participation in the Cultural Data Project, to provide training, and to further improve the organization's advocacy technology platform.",11/30/2015,"$110,000",12 months,Arts & Creativity
"Grants Managers Network, Inc.",http://www.gmnetwork.org,To support GMN’s 2016 Annual Conference and to support the New England Regional Chapter.,11/30/2015,"$10,000",12 months,Memberships & Sponsorships
"Massachusetts Afterschool Partnership, Inc.",http://www.massafterschool.org,To support advocacy for out-of-school time initiatives.,11/30/2015,"$125,000",12 months,Education
New England Blacks in Philanthropy,http://nebip.org,Barr Foundation membership,11/30/2015,"$1,500",12 months,Memberships & Sponsorships
"Roca, Inc.",http://www.rocainc.org,To support the direct-service delivery and expansion of Roca’s intervention model for high-risk young men in Boston as part of the Massachusetts Juvenile Justice Pay for Success Initiative.,11/30/2015,"$150,000",12 months,Education
"The Massachusetts Institute for a New Commonwealth, Inc.",http://www.massinc.org,To conduct public-opinion surveys and engage key stakeholders about transportation issues statewide.,11/30/2015,"$250,000",24 months,Climate
"Urbano Project, Inc.",http://www.urbanoproject.org,"To provide capacity-building support in the form of multi-year operating support, training, and technical assistance through the Barr-Klarman Arts Capacity Building Initiative Youth Arts Mastery Cohort.",11/30/2015,"$60,000",24 months,Arts & Creativity
Arts Midwest,http://www.artsmidwest.org,To plan and launch an initiative focused on building public will for the arts in Massachusetts.,10/28/2015,"$180,000",12 months,Arts & Creativity
"EdVestors, Inc.",http://www.edvestors.org,To support the Youth Arts Impact Network and to conduct national research on youth arts evaluation.,10/28/2015,"$20,000",12 months,Arts & Creativity
"Funders’ Network for Smart Growth and Livable Communities, Inc.",http://www.fundersnetwork.org,Barr Foundation membership,10/28/2015,"$8,900",12 months,Memberships & Sponsorships
"Mothers2Mothers International, Inc.",http://www.m2m.org,To continue capacity building and technical assistance for the Kenya Mentor Mother Program and to transition support for m2m-managed model sites.,10/28/2015,"$175,000",12 months,Global
Smart Growth America,http://www.smartgrowthamerica.org,To support crowd-sourced planning and fiscal analysis for place-based social equity strategies in the Boston metro area.,10/28/2015,"$150,000",12 months,Climate
"The Boston Foundation, Inc.",http://www.tbf.org,To support the Boston Opportunity Agenda.,10/28/2015,"$150,000",24 months,Education
Commonwealth of Massachusetts Office of the Attorney General,http://www.mass.gov/ago,To support an independent electric reliability analysis and modeling to take into account the retirement of the Pilgrim Nuclear Power Station.,10/20/2015,"$70,000",2 months,Climate
Boston College Trustees,http://bc.edu,To support the Boston College Law School Forum on Philanthropy and the Public Good.,9/25/2015,"$25,000",12 months,Sector Effectiveness
"Boston Harbor Island Alliance, Inc.",https://www.bostonharbornow.org,To explore a potential merger with The Boston Harbor Association.,9/25/2015,"$50,000",3 months,Special Initiatives
"Ideas in Action, Inc.",http://www.tedxbeaconstreet.com,To support the 2015 TEDxBeaconStreet Conference and Adventures.,9/25/2015,"$5,000",6 months,Memberships & Sponsorships
Innovation Network for Communities,http://www.in4c.net,"To support a European climate innovations study trip, hosted by the Boston Green Ribbon Commission, focused on carbon neutrality and long-term climate resilience.",9/25/2015,"$190,000",12 months,Climate
Institute for Transportation and Development Policy,http://www.itdp.org,To organize and host two sustainable transit study tours to Mexico City.,9/25/2015,"$162,000",12 months,Climate
"The Boston Foundation, Inc.",http://www.tbf.org,To support the organizational review of the Massachusetts Department of Elementary & Secondary Education.,9/25/2015,"$50,000",2 months,Education
"Boston After School & Beyond, Inc.",http://www.bostonbeyond.org,To provide operating support to strengthen the partnerships and deepen the knowledge base contributing to out-of-school-time program quality.,9/16/2015,"$2,000,000",24 months,Education
"Boston Harbor Association, Inc.",https://www.bostonharbornow.org,To institutionalize climate preparedness and resilient design in Boston.,9/16/2015,"$140,000",12 months,Climate
"BRAC USA, Inc.",http://www.bracusa.org,To evaluate BRAC’s Barr-funded Empowerment and Livelihood for Adolescents program in Uganda.,9/16/2015,"$85,000",12 months,Global
Clean Water Fund,http://www.cleanwaterfund.org,"To implement outreach, organizing, and policy education to ensure Massachusetts reaches its greenhouse gas reduction goals.",9/16/2015,"$400,000",24 months,Climate
Codman Square Neighborhood Development Corporation,http://csndc.com,"To complete the Eco-Innovation District initiatives and pilots, including energy retrofits in existing neighborhood housing and local clean energy generation.",9/16/2015,"$100,000",12 months,Climate
"Conservation Law Foundation, Inc.",http://www.clf.org,To support the Transportation for Massachusetts Coalition (T4MA)’s efforts to reform transportation.,9/16/2015,"$950,000",12 months,Climate
Emerson College,http://www.emerson.edu,"To provide capacity-building support to ArtsEmerson in the form of multi-year operating support, training, and technical assistance through the Barr-Klarman Arts Capacity Building Initiative.",9/16/2015,"$200,000",24 months,Arts & Creativity
"Enterprise Community Partners, Inc.",http://www.enterprisecommunity.org,"To support the design of equitable, sustainable, and connected communities that enable more low-income people to live near public transit.",9/16/2015,"$550,000",24 months,Climate
"Environmental League of Massachusetts, Inc.",http://environmentalleague.org,To coordinate the Global Warming Solutions Project network.,9/16/2015,"$300,000",24 months,Climate
FoProBiM,http://www.foprobim.org/,"To mobilize and strengthen the capacity of targeted stakeholder groups in the Parc National des Trois Baies, in northeast Haiti, to actively participate in the management of the newly designated Marine Managed Area.",9/16/2015,"$200,000",12 months,Global
"Global Footprint Network, Inc.",http://www.footprintnetwork.org,To enhance the Sustainable Development Return on Investment tool and to provide general support for core sustainability research.,9/16/2015,"$300,000",18 months,Global
"New Dance Complex, Inc.",http://www.dancecomplex.org,To provide operating support and to make capital improvements.,9/16/2015,"$500,000",24 months,Arts & Creativity
"Oxfam-America, Inc.",http://www.oxfamamerica.org,To further improve the organizational abilities of two farmers’ organizations to sustainably provide services to local farmers.,9/16/2015,"$100,000",12 months,Global
Social Work and Research Center,http://www.barefootcollege.org,"To provide capacity-building support to train women as solar engineers, enhance measurement and evaluation capabilities, and strengthen the organization's network of affiliates.",9/16/2015,"$110,000",12 months,Global
"Strategies for Children, Inc.",http://www.strategiesforchildren.org,To provide operating support as the organization works to ensure that Massachusetts children have access to high-quality early education and care that prepares them for success in school and life.,9/16/2015,"$400,000",24 months,Education
United Way of Massachusetts Bay and Merrimack Valley,http://www.thrivein5boston.org,To provide operating support to Thrive in 5 as it pursues its current school-readiness agenda and simultaneously determines its path going forward.,9/16/2015,"$200,000",12 months,Education
Innovation Network for Communities,http://www.in4c.net,To support the redesign of the Boston Green Ribbon Commission website.,9/10/2015,"$30,000",6 months,Climate
Interaction Institute for Social Change,http://www.interactioninstitute.org,To support public engagement during phase II of the Go Boston 2030 mobility visioning process.,8/24/2015,"$150,000",6 months,Climate
National Academy Foundation,http://www.naf.org,To conduct strategic planning for the Future Ready Venture Initiative.,8/24/2015,"$50,000",12 months,Education
"Sociedad Latina, Inc.",http://www.sociedadlatina.org,To provide operating support and funding for strategic and fund-development planning.,8/24/2015,"$150,000",12 months,Sector Effectiveness
"The Boston Foundation, Inc.",http://www.tbf.org,To support The Boston Foundation Centennial Gala.,8/24/2015,"$25,000",4 months,Memberships & Sponsorships
"Third Sector New England, Inc.",http://www.tsne.org,To subsidize executive and organizational transition services for Barr Foundation partners.,8/24/2015,"$150,000",12 months,Sector Effectiveness
Advanced Energy Economy Institute,http://https://www.aee.net/aeei,To support the Best Practices Forum: High-Performance Electricity System.,7/30/2015,"$55,000",6 months,Climate
"Massachusetts Communities Action Network, Inc.",http://www.mcan-pico.org,To support Carry It On: Celebrating 30 years of Social and Economic Justice.,7/30/2015,"$5,000",12 months,Memberships & Sponsorships
"Massachusetts Voter Education Network, Inc.",http://www.futureboston.com,To support community engagement as part of the Greater Boston Bus Rapid Transit (BRT) campaign.,7/30/2015,"$40,000",6 months,Climate
Nuestra Comunidad Development Corporation,http://www.nuestracdc.org,"To support community-level engagement in neighborhoods surrounding Dudley Square to ensure that Bus Rapid Transit (BRT) corridors, if built, are aligned with the communities’ priorities and expectations.",7/30/2015,"$50,000",5 months,Climate
"Nurtury, Inc.",http://www.nurturyboston.org,"To complete the planning and feasibility study for a Boston Early Childhood Data Center, in partnership with Thrive in 5.",7/30/2015,"$15,000",3 months,Education
PolicyLink,http://www.policylink.org,To support Equity Summit 2015: Boston PolicyLink Delegation.,7/30/2015,"$25,000",3 months,Climate
"The Massachusetts Institute for a New Commonwealth, Inc.",http://www.massinc.org,"To collect data to better understand bus riders’ needs and current travel challenges and inform outreach efforts that can help dispel stereotypes of buses, bus riders, and Bus Rapid Transit (BRT).",7/30/2015,"$25,000",4 months,Climate
The Fab Foundation,http://www.fabfoundation.org,To support the Boston Fab Festival.,7/ 2/2015,"$25,000",6 months,Arts & Creativity
"Coalition of Schools Educating Boys of Color, Inc.",http://www.coseboc.org,"To support the 2015 Gathering in Greater Boston, a regional conference to improve the academic achievement and affirmative development of boys and young men of color.",6/29/2015,"$10,000",6 months,Memberships & Sponsorships
Commonwealth of Massachusetts Office of the Attorney General,http://www.mass.gov/ago,To commission an independent analysis of New England’s energy resource options through 2030.,6/29/2015,"$300,000",12 months,Climate
Grantmakers for Education,http://www.edfunders.org,Barr Foundation membership,6/29/2015,"$7,500",12 months,Memberships & Sponsorships
"The Boston Foundation, Inc.",http://www.tpi.org,Barr Foundation membership dues for New England International Donors,6/29/2015,"$5,000",12 months,Memberships & Sponsorships
"Third Sector New England, Inc.",http://tsne.org,To support First Teacher’s capacity building as well as implementation of a full year of parent-to-parent programming to increase the school readiness of four-year-olds.,6/29/2015,"$70,000",12 months,Education
"YouthBuild USA, Inc.",https://www.youthbuild.org,To sponsor a delegation of Boston Student Advisory Council members to participate in the COP21 U.N. climate change conference in Paris.,6/29/2015,"$15,000",12 months,Memberships & Sponsorships
"Artists for Humanity, Inc.",http://www.afhboston.com,"To provide capacity-building support in the form of multi-year operating support, training, and technical assistance through the Barr-Klarman Arts Capacity Building Initiative Youth Arts Mastery Cohort.",6/23/2015,"$100,000",24 months,Arts & Creativity
"Boston Children’s Chorus, Inc.",http://www.bostonchildrenschorus.org,"To provide capacity-building support in the form of multi-year operating support, training, and technical assistance through the Barr-Klarman Arts Capacity Building Initiative Youth Arts Mastery Cohort.",6/23/2015,"$100,000",24 months,Arts & Creativity
"Boston City Singers, Inc.",http://www.bostoncitysingers.org,"To provide capacity-building support in the form of multi-year operating support, training, and technical assistance through the Barr-Klarman Arts Capacity Building Initiative Youth Arts Mastery Cohort.",6/23/2015,"$50,000",24 months,Arts & Creativity
