grantee,grantee_url,description,Award Date,Amount,Term,Program
"Lawyers Committee for Civil Rights Under Law of the Boston Bar Association, Inc.",http://lawyerscom.org,To support services to reunite immigrant children with their parents.,7/ 9/2018,"$50,000",12 months,Special Initiatives
National Domestic Workers Alliance,https://www.domesticworkers.org/,To support the End Family Separation Campaign.,7/ 9/2018,"$250,000",12 months,Special Initiatives
National Domestic Workers Alliance,http://-,To support the End Family Separation Campaign.,7/ 9/2018,"$250,000",12 months,
NEO Philanthropy,http://-,To support the Four Freedom Fund's Rapid Response Fund.,7/ 9/2018,"$200,000",12 months,
NEO Philanthropy,https://neophilanthropy.org/,To support the Four Freedom Fund's Rapid Response Fund.,7/ 9/2018,"$200,000",12 months,Special Initiatives
"Alternatives for Community and Environment, Inc.",http://www.ace-ej.org,To provide general operating and capacity-building support.,6/27/2018,"$225,000",12 months,
"Arts Boston, Inc.",http://www.artsboston.org,To provide additional support to complete marketing experiments and evaluate the first phase of the Audience Lab.,6/27/2018,"$50,000",6 months,
BoardSource,https://boardsource.org/,"To support positive change in foundation board practices and composition through research, support resources, and peer-to-peer engagement.",6/27/2018,"$175,000",36 months,
"Center for Collaborative Education Metro Boston, Inc.",http://www.cce.org,To finalize research on the high school characteristics and post-secondary success among Boston Public School graduates.,6/27/2018,"$220,000",12 months,
Grantmakers for Education,http://www.edfunders.org,2018 Barr Foundation Membership Dues,6/27/2018,"$7,500",12 months,
Grantmakers in the Arts,http://www.giarts.org,To support 2018 Barr Foundation Membership Dues.,6/27/2018,"$23,190",12 months,
"Health Resources in Action, Inc.",http://www.hria.org,To support CPLAN's Champions Family Engagement Award Event.,6/27/2018,"$1,000",1 months,
Institute for Transportation and Development Policy,http://www.itdp.org,To support a Bus Rapid Transit learning trip to Mexico City for Boston's business sector leaders.,6/27/2018,"$60,000",6 months,
MASSCreative,http://www.mass-creative.org,To support MASSCreativeÕs core functions as it undergoes strategic planning.,6/27/2018,"$100,000",12 months,
Metropolitan Area Planning Council,http://www.mapc.org,"To increase the number of arts and planning leaders and stakeholders participating in a learning journey to King County, Washington.",6/27/2018,"$20,000",6 months,
"Mystic River Watershed Association, Inc.",http://www.mysticriver.org/,To initiate a comprehensive strategy for regional climate resilience in the Mystic River Watershed.,6/27/2018,"$115,000",9 months,
"Neighborhood Development Associates, Inc.",http://www.beyond-walls.org,To support Beyond WallsÕ 2018 Mural Festival.,6/27/2018,"$200,000",12 months,
"New England Foundation for the Arts, Inc.",http://www.nefa.org,To operationalize NEFA's strategic plan.,6/27/2018,"$200,000",12 months,
"Center for Collaborative Education Metro Boston, Inc.",http://www.cce.org,"For the redesign of the school model for Next Wave/Full Circle, a school in Somerville Public Schools, as part of the second cohort of Engage New England: Doing High School Differently.",6/20/2018,"$150,000",12 months,Education
"Center for Collaborative Education Metro Boston, Inc.",http://www.cce.org,To support the development of a Personalized Learning School Design Toolkit.,6/20/2018,"$100,000",12 months,Education
"Community Labor United, Inc.",http://massclu.org,To support transit justice advocacy.,6/20/2018,"$350,000",12 months,Climate
"Enterprise Community Partners, Inc.",http://www.enterprisecommunity.org,"To support the design of equitable, sustainable, and connected communities and the placement of a Rose Fellow.",6/20/2018,"$1,050,000",36 months,Climate
Fall River Public Schools,http://www.fallriverschools.org/,For the redesign of the school model for Resiliency Preparatory Academy as part of the second cohort of Engage New England: Doing High School Differently.,6/20/2018,"$150,000",12 months,Education
"Great Schools Partnership, Inc.",http://www.greatschoolspartnership.org,To continue supporting the development of competency-based learning in Melrose Public Schools.,6/20/2018,"$200,000",24 months,Education
Hartford Public Schools,https://www.hartfordschools.org/,For the design of a new program model in Hartford Public Schools as part of the second cohort of Engage New England: Doing High School Differently.,6/20/2018,"$150,000",12 months,Education
Holyoke Public Schools,http://www.hps.holyoke.ma.us,To support the early launch and ongoing iteration of a new high school model.,6/20/2018,"$1,000,000",24 months,Education
"Livable Streets Transportation Alliance of Boston, Inc.",http://www.LivableStreets.info,To build an accountability framework for Go Boston 2030 implementation.,6/20/2018,"$200,000",24 months,Climate
"Massachusetts Budget and Policy Center, Inc.",http://www.massbudget.org,To provide core operating support.,6/20/2018,"$375,000",36 months,Sector Effectiveness
"Massachusetts Charter Public School Association, Inc.",http://www.masscharterschools.org,To support MCPSA's general operations and new strategic plan.,6/20/2018,"$1,000,000",36 months,Education
National Council of Nonprofits,https://www.councilofnonprofits.org,To provide core support.,6/20/2018,"$225,000",36 months,Sector Effectiveness
OneGoal,http://www.onegoalgraduation.org,To support OneGoal's expansion in Massachusetts.,6/20/2018,"$500,000",24 months,Education
"Partnership Project, Inc.",http://saveourenvironment.org,To support communications and organizing for climate action.,6/20/2018,"$850,000",30 months,Climate
"Phoenix Charter Academy Foundation, Inc.",http://www.phoenixcharteracademy.org,For the redesign of the school model for Phoenix Charter Academy Lawrence which will enroll students from the region as part of the second cohort of Engage New England: Doing High School Differently.,6/20/2018,"$150,000",12 months,Education
Roger Williams University,https://scs.rwu.edu,"For the design of a new school model, University High School, which targets students from the region as part of the second cohort of Engage New England: Doing High School Differently.",6/20/2018,"$150,000",12 months,Education
"The American Prospect, Inc.",http://www.prospect.org,"To support an article series on transportation, access, and greenhouse gas reduction.",6/20/2018,"$150,000",24 months,Climate
"The Boston Private Industry Council, Inc.",http://www.bostonpic.org,To provide core support for its Boston Compact program.,6/20/2018,"$300,000",36 months,Education
The Education Trust,https://edtrust.org/,To build a diverse equity coalition in Massachusetts.,6/20/2018,"$750,000",36 months,Education
"The Massachusetts Institute for a New Commonwealth, Inc.",http://www.massinc.org,To provide core operating support.,6/20/2018,"$450,000",36 months,Sector Effectiveness
"Third Sector New England, Inc.",http://www.tsne.org,To support the Greater Boston Chamber of Commerce's City Awake program.,6/20/2018,"$75,000",12 months,Sector Effectiveness
